GitHub_Entity_Filename,Oasis_Entity_ID,Oasis_Account,ETH_Address,2021-05-04-05-00-01,2021-05-05-05-00-01,2021-05-06-05-00-01,2021-05-07-05-00-01,2021-05-08-05-00-01,2021-05-09-05-00-01,2021-05-10-05-00-01,2021-05-11-05-00-01,2021-05-12-05-00-02,2021-05-13-05-00-01,2021-05-14-05-00-01,2021-05-15-05-00-01,2021-05-16-05-00-01,2021-05-17-05-00-01,2021-05-18-05-00-01,2021-05-19-05-00-01,2021-05-20-05-00-01,2021-05-21-05-00-01,2021-05-22-05-00-02,2021-05-23-05-00-01,2021-05-24-05-00-01,2021-05-25-05-00-02,2021-05-26-05-00-01,2021-05-27-05-00-01,2021-05-28-05-00-01,2021-05-29-05-00-01,2021-05-30-05-00-01,2021-05-31-05-00-01,2021-06-01-05-00-01,2021-06-02-05-00-01,2021-06-03-05-00-01
cherideal-entity.json,xQN6ffLSdc51EfEQ2BzltK1iWYAw6Y1CkBAbFzlhhEQ=,oasis1qzp84num6xgspdst65yv7yqegln6ndcxmuuq8s9w,0xCD60CC64acf74c68a7E9D7407d249Bae74DEf892,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,104713.38619656,104757.883783901,104802.192775452,104846.319206599,104890.306884135,104934.161913787,104977.906158732,105021.542615741
chris-remus-entity.json,a/LVFfoI3aRoasZs6tP/Lvn0CbG6RkvEFYHcVR/Vo9M=,oasis1qrxyndkhehffdme39urcp2v7m2t7k06xwsuyaxqq,0x1216F51Cf38BAa42eDc63C89560162277E4399F5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
dcccapital-entity.json,4gbOOU09bcyvM53Up1lTnP+sLb0feniJu0OcUUPCBSs=,oasis1qzl99wft8jtt7ppprk7ce7s079z3r3t77s6pf3dd,0x3B6408d6585FfCc23a951874ce7399C038ac45d0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,96573126.808863813,96614548.922365815,96655413.562607419,96696109.833744837,96775641.067961957,96816103.325493305,96856463.368994733,96896723.963396423
dm4-entity.json,RDCyARTIdpiG75L9vVXAYIhRCToSrchZkv3JUW3Pji8=,oasis1qztpm422n7v98f4s7ja0wt5jey7fy3xpg5ye2vtl,0x60946cac047C04Da9f36308bD4C00BD77f8da36e,42737259.353604413,42758289.332707061,42779288.165077521,42800245.950814158,42820292.939345908,42841159.857035848,42861975.223424083,42882728.661849473,42903399.479351994,42923987.546779872,42943618.403380105,42963983.887571691,42984215.035317315,43004291.436133643,43023363.1528746,43043094.560139237,-1,-1,-1,-1,-1,-1,-1,43202360.066914607,43220718.758775925,44089269.113641198,44107832.676549512,44126337.867154332,44144787.254076413,44163190.034943819,44181547.470468871
elsehow-entity.json,4g2p36WoOzdHyXq6tOjFb3nv6y90/zyQcb1eQcy5doo=,oasis1qra3rvq7y055waxmnx8rc0nad3frr8na2s9l8l3f,0xDf3679681B87fAE75CE185e4f01d98b64Ddb64a3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
gsuwiwoskjs-entity.json,+MBgzI9mlzJsOxIDVib7XsY4X4a4YqX67dpH8It9sX4=,oasis1qq9dy5xlkrp6y3ckfp8rx8edq77c88ttl5qe3p2u,0xfE2f873CC0ADd0C3E76D4932a0d8B099231Fd6f0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
gunray88-entity.json,Vt63FfFzNMgUngrMvnKks+icySi5LwkjniJEJMZAimM=,oasis1qq4f2h225gv6g8w8w23fm740aze9lke4qun72n59,0x0d34a90Bd5586C62fD94b1c1B52c38FeFF8Feae0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42187715.643461323,42205643.165722412,42223494.705095825,42241272.693162415,42258994.779130896,42276663.422922859,42294287.432940151,42311868.016544141
huglester-entity.json,GDWO0+R7qSrWB0bvT+V2Kz6vlHcm6ZnaNQM2/FsFqEA=,oasis1qzv7a0gkxwpfelv985fvkl24k7jh3arfwy84zw7q,0xb6ADf0345aa8364b225ED388EfFF9A568E06fa4c,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38616749.719075701,38633083.279622959,38649349.543188246,38665564.65820634,38681730.875423086,38697856.254231127,38713941.899325664
hydai-entity.json,UC0Aaa2Czc25G5+X2HOio6H0wQuBJR550chCE2kieN0=,oasis1qp3fd5rplv5uh6nc9vn85ejeaszewjv2xgvfts07,0x60946cac047C04Da9f36308bD4C00BD77f8da36e,103470.532975888,103521.448340575,103572.28829638,103623.028874802,103671.564335864,103722.084915029,103772.480684114,103822.726520347,103872.772324309,103922.617783315,103970.145753649,104019.452319745,104068.433645899,104117.0403166,104163.214561867,104210.985973895,-1,-1,-1,-1,-1,-1,-1,104576.068345162,104620.507579761,104664.758465893,104708.827031023,104752.757024497,104796.554544038,104840.241424151,104883.820657678
jjangg96-entity.json,DIbPacWGEiealk+226eYEafYmKJpD98PYoWp/tcPXJI=,oasis1qpsnzv8qz4fu3lwps2tc3eg5pnryzl4h7cqxruzf,0x17cCdDa3914aB73f480FEEa2eCA6381C2cE6D4b9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41393430.629191356,41411020.622812702,41428536.06410662,41445979.338873617,41463367.764033693,41480703.753194503,41497995.948918592,41515245.53583585
