GitHub_Entity_Filename,Oasis_Entity_ID,Oasis_Account,ETH_Address,2021-04-04-05-00-01,2021-04-05-05-00-02,2021-04-06-05-00-01,2021-04-07-05-00-01,2021-04-08-05-00-02,2021-04-09-05-00-01,2021-04-10-05-00-01,2021-04-11-05-00-01,2021-04-12-05-00-01,2021-04-13-05-00-01,2021-04-14-05-00-01,2021-04-15-05-00-01,2021-04-16-05-00-01,2021-04-17-05-00-01,2021-04-18-05-00-01,2021-04-19-05-00-01,2021-04-20-05-00-01,2021-04-21-05-00-01,2021-04-22-05-00-01,2021-04-23-05-00-01,2021-04-24-05-00-02,2021-04-25-05-00-01,2021-04-26-05-00-01,2021-04-27-05-00-01,2021-04-28-05-00-01,2021-04-29-05-00-01,2021-04-30-05-00-01,2021-05-01-05-00-01,2021-05-02-05-00-01,2021-05-03-05-00-01
Alexxxandr0-entity.json,F5eduX4m4O/ot3UcFs3iQk1ZPUuG43kuxGI9sZz95uU=,oasis1qzmwdlxy7cltmwt99u9pwqt3g0rdwgsqyvcqymmt,0xB1869052fE6E055b45ae79B0B59d15A14bbA05fa,38437454.835641081,38453431.045070747,38469413.914299157,38486204.32735778,38502200.857422964,38518204.055786411,38534213.937344612,38550230.492791886,38566253.724919902,38582283.636521495,38599123.461434673,38615167.07422727,38631217.38715534,38647274.390890348,38664142.672296684,38680213.412620252,38696289.691436509,38713168.210625208,38729239.248035393,-1,38761362.661594996,38778218.854434059,38794258.794023017,38810286.770160078,-1,-1,-1,-1,-1,-1
Bambarello-entity.json,T5k7PtOR01oZrdnZveDpO9AFpMUhEREZk7WSSfm8Gtg=,oasis1qzugextrcdueshq63w7l9x4xglnusznsgqa95w7e,0xDeD70469224cDdF1Bee60F1eED2047ebdf9caD0C,41753713.436348437,41770061.818353253,41786416.542456343,41803647.52688966,41820015.283085721,41836389.388804509,41852769.846478686,41869156.676417576,41890072.813139276,41906474.618675605,41923755.202242842,41940170.077483646,41956591.33848587,41973018.969793159,41990326.774362528,42006767.51366136,42023213.370068652,42045069.214400031,42061509.827370893,42077945.045361572,42094368.103710417,42111658.677110604,42128061.912857656,42144451.265369564,-1,-1,-1,-1,-1,-1
C-Surgeon-entity.json,/ylWdaid2DDlI4BMVkX6gAR6eaBYlLolHbjCmHitrzc=,oasis1qp6fzgx9zhamsk6c77cwzjeme06xwswffvhk6js2,0xcF23ab4014718B48D6E9795EA72BA417D6F73688,38901790.826065833,38917358.156973123,38932931.700235572,38949321.976847054,38964908.276576222,38980500.796204192,38996099.538204377,39011704.520375795,39027315.714552212,39042933.153863987,39059369.634032826,39074999.865660323,39090636.334664764,39106279.058888611,39122742.152787154,39138397.689983226,39154058.315411106,39170530.12754391,39186184.374227883,39201833.882862813,39221368.899515342,39237817.958591281,39253440.546945302,39269050.487581087,-1,-1,-1,-1,-1,-1
CentreDLTUM-entity.json,YDHYz/R+Y7pCodhmgkCqzoqqN54gzRfVE5fjZriX+RI=,oasis1qzrehfnnntdaeshy5f6kfa8v3p35yu7mluaapmgc,0x7c1d82a14a51746c09D18028c13830F424444D35,5789123.3656826,5792015.377498142,5794908.834045784,5797924.388342996,5800820.796793387,5803718.652172255,5806617.955202426,5809518.706607089,5812420.907109795,5815324.557434456,5818350.735664531,5821257.348291626,5824165.412944791,5827074.930349406,5830107.223237805,5833019.708930445,5835933.474508739,5838968.683939856,5841882.558743206,5844796.251175404,5847708.823899378,5850742.493251034,5853653.463343324,5856563.070662816,-1,-1,-1,-1,-1,-1
Cherkes615-entity.json,/Foi5kZdBc70HPmlguvY6AzBILNrNiPDgKQLOITuIEI=,oasis1qps9drw07z0gmh5z2pn7zwl3z53ate2yvqf3uzq5,0x7884Fa36730E761E3F73c34554852D403D3d4cd8,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,-1,-1,-1,-1,-1,-1
Code-Breader-entity.json,WXs7ElBlm30la2fG4oZDpubeFu5sKkjDVeflWo+YuIA=,oasis1qql4alk30frfa6xua42eu7tynkqf9vd5ug95yqpn,0xd6959c3692AcdA5294b7A1e4C465dE84c1a3D55e,41696643.835522244,41712965.662937965,41729293.831239486,41746497.069391285,41762838.266834557,41779185.812614486,41795539.727503138,41811899.995628879,41828266.619905451,41844639.613601117,41861890.106980731,41882802.613618334,41899197.351519678,41915598.469964675,41932878.576461882,41949292.823830031,41965712.200342246,41983000.718055757,41999412.652871053,42015819.20142823,42032213.626975978,42049474.324103626,42065849.012485372,42082209.838970023,-1,-1,-1,-1,-1,-1
Esya-entity.json,7DwKCCQV9THNLyTELQTBCWNPIHZJdAq7qGk1D7vx2zo=,oasis1qp0j5v5mkxk3eg4kxfdsk8tj6p22g4685qk76fw6,0x845700dF7902382f52b9Bf5190CD5428d23fE68B,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,97888.582797422,97888.582797422,97888.582797422,97888.582797422,-1,-1,-1,-1,-1,-1
Julia-Ju-Ju-entity.json,bTok0el8GbmUzTAAgcQ78uww/TsgeWwXpM3N2S49qBQ=,oasis1qp4f47plgld98n5g2ltalalnndnzz96euv9n89lz,0xeBb571e7e4b7cE9f43CAfaf6dC0Ef0c5961d9a02,44643137.130311243,44660931.835199935,44678733.609631407,44697472.628999103,44715288.978020493,44733112.423965517,44750942.969658816,44768780.617926159,44786625.352782853,44804477.214670685,44823268.940432666,44841135.417894658,44859009.012241423,44876889.745154986,44895711.860958438,44913607.214237445,44931508.347986413,44950340.341078724,44968234.090424577,44986122.361716621,45003997.941843026,45022801.335314757,45040656.365598424,45058496.842302389,-1,-1,-1,-1,-1,-1
Krewedk0-entity.json,32KS5Z9LWTD2UEUOqhRwZyJvb0lb12iiE9UYgoFjsKQ=,oasis1qzu358mpd4z5frmrq6vnwq87cqfvdmfxh5ax57cj,0x40DC494150fE934641B68ce20E46f1dA760647BA,7339852.710034287,7348866.166694078,7352537.362908505,7356363.475842308,7360038.417409056,7366768.284176166,7370448.423564195,7374130.401400974,7377814.218604912,7381499.876094883,7371385.389054666,7380464.05442163,7384151.035662367,7398943.55520265,7402793.816987901,7406491.953274593,7410191.714699425,7414045.679772384,7417745.579886011,7421445.248433397,7425143.49522835,7439293.031815692,7473479.284910433,7477194.040176635,-1,-1,-1,-1,-1,-1
Lucas-L-entity.json,aOefxt5MUuXEbErxpD+ZttJWh/3d9if+t+PBTeAgKpo=,oasis1qz2rxs50p4kn537tcupjhg7ad3zcm9s7uuyrrd9e,0x75Ed9808B3D71D90694b70BB650Ce3ECe80209FD,8242346.707020103,8378920.193872601,8582654.627371756,8509512.790237918,9989437.663779455,9994220.897928174,10000211.083643197,8888181.162989025,8915036.006271919,9218640.88242824,9222837.790951264,7587310.297335404,7614166.849787226,7617970.579489317,7621934.818543792,7626866.583170567,7679348.619014204,8183498.572555559,8194032.459896728,7786245.068070101,7835308.277474444,7839373.071960287,7853522.67292439,7857426.331929158,-1,-1,-1,-1,-1,-1
Ostrovmaria80-entity.json,Y+ve+O0hlBco/1YzuFODIn7Jo3D5c9BOqduhc7KZM8E=,oasis1qq3fq8hxrlq6pedw0q3f57daea43a6v7q5rwf0ll,0x00000000037a08ce8c4917a5c58f40c85367df0c,37308676.570389399,37327314.475759282,37345961.691872629,37314365.879223715,37333006.62674211,37351656.686423795,37370316.062920748,37388984.760887272,37407662.784979998,37426350.139857878,37445826.061606733,37464532.481313595,37483248.245990914,37501973.360307061,37521488.634862651,37540232.852529936,37558985.307303877,37573333.30111409,37592083.870796958,37610833.266934913,37573809.396747348,37593301.905253657,37612006.023174296,37630701.384748318,-1,-1,-1,-1,-1,-1
PowerMax999-entity.json,tcon38rBr3dHmURuXOTUFpDPKwE4eOU82F121rX9esE=,oasis1qqx820g2geqzeyeyfnm5hgz72eaj9emajgqmscy0,0xd5D39C5d46D973c1C824877d9a583fd2e4A39C11,37348951.017937151,37364383.895482545,37379823.161580535,37396047.02651621,37411499.411330276,37426958.192795302,37442423.373564979,37457894.956294099,37473372.943638557,37488857.350375712,37505128.632539683,37520626.184316326,37536130.151487473,37551640.536714616,37567939.127350308,37583462.691873433,37598991.554642135,37615299.835908362,37630823.449650527,37646342.940411166,37661852.271778352,37678138.517779163,37693631.581294715,37709112.925801016,-1,-1,-1,-1,-1,-1
Sayeh-1337-entity.json,uxSkvFu6x4MIYV+M1VrDu3m/qbADs/1Ae3mWAcEmnaQ=,oasis1qrtq873ddwnnjqyv66ezdc9ql2a07l37d5vae9k0,0xb6Ea7321514E435C1B2c570c33f3Ca68D912FB24,53012409.541435145,53038892.396451429,53065388.481230627,53093002.64477506,53119525.760845111,53146062.126790873,53172611.749231443,53199174.634789234,53225750.790089962,53252340.221762652,53280051.671242149,53306668.229438143,53333298.084189751,53359941.242139397,53387708.685031159,53414379.024315624,53423933.870117699,53451719.112810891,53478393.620921792,53505066.45955097,53531729.048025921,53559500.192357019,53586148.109847565,53612783.552095861,-1,-1,-1,-1,-1,-1
SimplyVC-entity.json,WazI78lMcmjyCH5+5RKkkfOTUR+XheHIohlqMu+a9As=,oasis1qz0ea28d8p4xk8xztems60wq22f9pm2yyyd82tmt,0x4fBefaf1BFf0130945C61603B97D38DD6e21f5Cf,179069199.522402149,179275383.644125034,179361731.910311443,179448855.066017772,179546239.501973729,179695937.284975845,179785706.10505588,179875519.770006536,179957141.123452865,180142892.973850291,180221461.868518289,180311493.219418442,180482569.699189649,180572731.488998034,180672598.605774715,180457168.147504234,180599350.20962894,180692774.060588567,180842521.820492152,180839492.214149053,181064396.271355697,181216814.242247949,181285108.293758927,181253424.469941476,-1,-1,-1,-1,-1,-1
SmartStake-entity.json,KmMS+RzjQ9vm9J2aX9YihJnmmSc/IBquCysbhPxVDFM=,oasis1qqlq8jplttrmw982rrhp0svl8054xqevecks5yqr,0x770BCcB2F326435AFda99871890f5cC23B2f6058,46238351.822208867,46261450.632055307,46246921.02760023,46270986.997476892,46294102.110536534,46317228.770971461,46340366.984550279,46363516.757044469,46386678.094228398,46409851.001879314,46434001.757245818,46457198.305884145,46480406.442579678,46503626.173121344,46527825.727205602,46551069.146503367,46574322.78007239,46598545.609953498,46621800.115205337,46645053.165023721,46668297.278884815,46692507.817988748,46715739.141867642,46738959.589985112,-1,-1,-1,-1,-1,-1
Tuzemunez-entity.json,XSQLBoubhOq/X86vKIj4Xzouo1Fhe39+kLF/2PDgKpM=,oasis1qqr8y5cez0aczdlnfp9fre82whjsdgqgd5xxtv6p,0x70892d799f350b97106ae8B9AE603bcaf650a943,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,-1,-1,-1,-1,-1,-1
